appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
240,Counter-Strike: Source,Valve,Valve,,168582,6486,0,"10,000,000 .. 20,000,000",7375,8,295,8,999,999,0,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",Action,10060,"{'Shooter': 5316, 'FPS': 3196, 'Action': 3175, 'Multiplayer': 2548, 'Team-Based': 1708, 'First-Person': 1510, 'Competitive': 1366, 'Tactical': 1354, 'PvP': 1040, 'e-sports': 981, 'Military': 778, 'War': 656, 'Strategy': 530, 'Moddable': 514, 'Singleplayer': 416, 'Difficult': 398, 'Atmospheric': 309, 'Survival': 286, 'Simulation': 248, 'Sandbox': 210}"
280,Half-Life: Source,Valve,Valve,,10799,4762,0,"2,000,000 .. 5,000,000",153,0,34,0,999,999,0,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",Action,28,"{'FPS': 398, 'Action': 295, 'Classic': 238, 'Sci-fi': 217, 'Singleplayer': 210, 'First-Person': 187, 'Shooter': 183, 'Aliens': 157, ""1990's"": 130, 'Zombies': 127, 'Story Rich': 119, 'Adventure': 102, 'Remake': 95, 'Atmospheric': 90, 'Multiplayer': 67, 'Silent Protagonist': 67, 'Horror': 64, 'Great Soundtrack': 52, 'Moddable': 48, 'Gore': 25}"
300,Day of Defeat: Source,Valve,Valve,,20256,1842,0,"5,000,000 .. 10,000,000",352,0,228,0,999,999,0,English,Action,492,"{'FPS': 650, 'World War II': 517, 'Multiplayer': 363, 'Action': 332, 'Shooter': 309, 'Military': 250, 'Team-Based': 245, 'War': 245, 'First-Person': 192, 'Historical': 159, 'Class-Based': 151, 'Classic': 141, 'Tactical': 125, 'Realistic': 103, 'Online Co-Op': 72, 'Gore': 51, 'Strategy': 49, 'Massively Multiplayer': 37, 'Simulation': 30, 'Violent': 27}"
340,Half-Life 2: Lost Coast,Valve,Valve,,12178,1462,0,"20,000,000 .. 50,000,000",136,0,19,0,0,0,0,"English, French, German, Italian, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Korean",Action,18,"{'FPS': 1032, 'Action': 365, 'Singleplayer': 315, 'First-Person': 256, 'Sci-fi': 251, 'Shooter': 227, 'Short': 224, 'Aliens': 124, 'Dystopian ': 115, 'Classic': 113, 'Adventure': 109, 'Atmospheric': 98, 'Benchmark': 97, 'Futuristic': 92, 'Silent Protagonist': 88, 'Free to Play': 64, 'Post-apocalyptic': 44, 'Multiplayer': 43, 'Story Rich': 43, 'Great Soundtrack': 38}"
360,Half-Life Deathmatch: Source,Valve,Valve,,3155,1109,0,"5,000,000 .. 10,000,000",194,0,10,0,999,999,0,English,Action,10,"{'Action': 248, 'FPS': 165, 'Multiplayer': 130, 'Shooter': 99, 'Sci-fi': 88, 'First-Person': 79, 'Classic': 74, 'Remake': 27, 'Violent': 22, 'Adventure': 18, 'Fast-Paced': 16, 'Competitive': 16, 'Atmospheric': 11, 'Singleplayer': 11, 'Horror': 10, 'Gore': 6, 'Great Soundtrack': 5, 'Retro': 5, 'Arena Shooter': 5}"
380,Half-Life 2: Episode One,Valve,Valve,,30214,1337,0,"2,000,000 .. 5,000,000",215,354,207,354,799,799,0,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese - Portugal, Swedish, Thai",Action,146,"{'FPS': 751, 'Action': 540, 'Sci-fi': 472, 'Singleplayer': 415, 'Story Rich': 327, 'First-Person': 325, 'Shooter': 312, 'Classic': 290, 'Dystopian ': 250, 'Aliens': 240, 'Adventure': 237, 'Zombies': 237, 'Episodic': 180, 'Atmospheric': 176, 'Silent Protagonist': 173, 'Great Soundtrack': 169, 'Short': 155, 'Puzzle': 122, 'Cinematic': 104, 'Moddable': 80}"
400,Portal,Valve,Valve,,162989,2539,0,"10,000,000 .. 20,000,000",310,0,192,0,100,999,90,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Turkish, Ukrainian",Action,1599,"{'Puzzle': 4213, 'Puzzle-Platformer': 3180, 'First-Person': 2542, '3D Platformer': 2480, 'Singleplayer': 2192, 'Sci-fi': 2015, 'Comedy': 1637, 'Female Protagonist': 1569, 'Physics': 1133, 'Funny': 1099, 'Action': 1070, 'Classic': 907, 'Story Rich': 901, 'Platformer': 854, 'Science': 831, 'Atmospheric': 722, 'Dark Humor': 703, 'FPS': 681, 'Short': 675, 'Adventure': 662}"
420,Half-Life 2: Episode Two,Valve,Valve,,40395,1218,0,"5,000,000 .. 10,000,000",337,0,268,0,799,799,0,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese",Action,219,"{'FPS': 937, 'Action': 691, 'Sci-fi': 583, 'Singleplayer': 521, 'Shooter': 458, 'Story Rich': 412, 'First-Person': 406, 'Classic': 372, 'Adventure': 328, 'Aliens': 312, 'Atmospheric': 278, 'Zombies': 273, 'Silent Protagonist': 268, 'Great Soundtrack': 232, 'Dystopian ': 231, 'Post-apocalyptic': 209, 'Episodic': 172, 'Puzzle': 166, 'Horror': 148, 'Multiplayer': 106}"
440,Team Fortress 2,Valve,Valve,,989361,131668,0,"50,000,000 .. 100,000,000",12067,1145,459,838,0,0,0,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian, Spanish - Latin America","Action, Free To Play",63468,"{'Free to Play': 62708, 'Hero Shooter': 60982, 'Multiplayer': 22757, 'FPS': 15649, 'Shooter': 12705, 'Action': 12070, 'Class-Based': 9837, 'Team-Based': 9424, 'Funny': 9379, 'First-Person': 7914, 'Online Co-Op': 7313, 'Competitive': 7088, 'Cartoony': 7083, 'Trading': 6811, 'Co-op': 5815, 'Comedy': 5357, 'Robots': 4992, 'Tactical': 4001, 'Cartoon': 3946, 'Crafting': 3684}"
500,Left 4 Dead,Valve,Valve,,55686,2122,0,"5,000,000 .. 10,000,000",648,9,245,9,999,999,0,"English, French, German, Spanish - Spain, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Swedish, Traditional Chinese, Korean, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Turkish, Ukrainian, Vietnamese",Action,465,"{'Zombies': 2169, 'Co-op': 1394, 'Multiplayer': 1242, 'FPS': 1190, 'Action': 1028, 'Horror': 890, 'Shooter': 827, 'Online Co-Op': 811, 'Survival': 672, 'Team-Based': 653, 'First-Person': 620, 'Post-apocalyptic': 549, 'Singleplayer': 440, 'Atmospheric': 331, 'Adventure': 316, 'Moddable': 315, 'Tactical': 288, 'Replay Value': 268, 'Competitive': 263, 'Female Protagonist': 231}"
550,Left 4 Dead 2,Valve,Valve,,869053,22218,0,"50,000,000 .. 100,000,000",2342,174,520,107,999,999,0,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",Action,24747,"{'Zombies': 21120, 'Co-op': 11322, 'FPS': 9995, 'Multiplayer': 9367, 'Shooter': 7038, 'Online Co-Op': 6745, 'Action': 6636, 'Survival': 5693, 'Horror': 5447, 'First-Person': 4536, 'Gore': 4247, 'Team-Based': 3578, 'Moddable': 3058, 'Survival Horror': 2987, 'Post-apocalyptic': 2888, 'Singleplayer': 2434, 'Adventure': 2184, 'Local Co-Op': 2135, 'Replay Value': 2083, 'Tactical': 2002}"
570,Dota 2,Valve,Valve,,1906784,429617,0,"200,000,000 .. 500,000,000",40694,1624,776,728,0,0,0,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese","Action, Strategy, Free To Play",554418,"{'Free to Play': 59754, 'MOBA': 20049, 'Multiplayer': 15256, 'Strategy': 14172, 'e-sports': 11712, 'Team-Based': 10885, 'Competitive': 8221, 'Action': 7874, 'Online Co-Op': 7412, 'PvP': 5992, 'Difficult': 5288, 'Co-op': 4269, 'RTS': 4076, 'RPG': 3762, 'Tower Defense': 3732, 'Fantasy': 3717, 'Character Customization': 2902, 'Replay Value': 2735, 'Action RPG': 2433, 'Simulation': 1956}"
620,Portal 2,Valve,Valve,,402354,5327,0,"5,000,000 .. 10,000,000",1020,6,510,7,100,999,90,"English, French, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Greek, Portuguese - Brazil, Spanish - Latin America, Ukrainian","Action, Adventure",6120,"{'Platformer': 7411, 'Puzzle': 7279, 'First-Person': 7019, 'Dark Humor': 7016, 'Story Rich': 6980, 'Puzzle-Platformer': 6914, 'Funny': 6833, 'Female Protagonist': 6789, '3D Platformer': 6738, 'Action-Adventure': 6588, 'Action': 6552, 'FPS': 6537, 'Co-op': 5995, 'Physics': 5049, 'Sci-fi': 4893, 'Level Editor': 4870, 'Science': 4791, 'Comedy': 4771, 'Atmospheric': 4762, 'Adventure': 4699}"
630,Alien Swarm,Valve,Valve,,20014,1087,0,"2,000,000 .. 5,000,000",91,0,181,0,0,0,0,English,Action,15,"{'Free to Play': 3705, 'Co-op': 783, 'Action': 600, 'Multiplayer': 546, 'Online Co-Op': 479, 'Aliens': 470, 'Shooter': 456, 'Sci-fi': 401, 'Top-Down': 375, 'Top-Down Shooter': 350, 'Survival': 244, 'Class-Based': 210, 'PvE': 209, 'Third Person': 205, 'Team-Based': 204, 'Third-Person Shooter': 176, 'Moddable': 147, 'Singleplayer': 126, 'Strategy': 124, 'Adventure': 119}"
730,Counter-Strike: Global Offensive,Valve,Valve,,7263627,1086585,0,"100,000,000 .. 200,000,000",35749,869,6836,330,0,0,0,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese, Indonesian","Action, Free To Play",962439,"{'FPS': 90474, 'Shooter': 65102, 'Multiplayer': 62057, 'Competitive': 53135, 'Action': 47338, 'Team-Based': 46254, 'e-sports': 43334, 'Tactical': 41194, 'First-Person': 39246, 'PvP': 34326, 'Online Co-Op': 33845, 'Co-op': 30150, 'Strategy': 30005, 'Military': 28610, 'War': 27920, 'Difficult': 25890, 'Trading': 25592, 'Realistic': 25347, 'Fast-Paced': 25258, 'Moddable': 6529}"
1250,Killing Floor,Tripwire Interactive,Tripwire Interactive,,63036,3355,0,"2,000,000 .. 5,000,000",1472,0,342,0,1999,1999,0,"English, French, Italian, German, Spanish - Spain, Hungarian, Polish, Russian",Action,265,"{'FPS': 1716, 'Zombies': 1672, 'Co-op': 1567, 'Survival': 1238, 'Horror': 1099, 'Action': 1070, 'Multiplayer': 1067, 'Online Co-Op': 965, 'Violent': 866, 'Gore': 846, 'Shooter': 784, 'Team-Based': 585, 'First-Person': 517, 'Survival Horror': 416, 'Moddable': 375, 'Class-Based': 320, 'Bullet Time': 320, '3D': 318, 'Singleplayer': 316, 'Dark Comedy': 312}"
