appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
4000,Garry's Mod,Facepunch Studios,Valve,,1067679,35938,0,"20,000,000 .. 50,000,000",11267,639,1682,625,999,999,0,"English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian","Casual, Indie, Simulation",25031,"{'Sandbox': 18533, 'Moddable': 14363, 'Multiplayer': 14350, 'Physics': 14325, 'Building': 14306, 'Casual': 13107, 'Funny': 12866, 'First-Person': 12820, 'Singleplayer': 12807, 'FPS': 12777, 'Simulation': 12769, 'Online Co-Op': 12769, 'Co-op': 12763, 'Shooter': 12758, 'Comedy': 12749, 'Action': 12746, 'Indie': 12695, 'PvP': 8945, 'Realistic': 8931, 'Exploration': 8903}"
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,GSC Game World,,40396,2291,0,"1,000,000 .. 2,000,000",657,0,512,0,1999,1999,0,"English, French, Italian, Spanish - Spain, German, Russian, Ukrainian, Polish, Traditional Chinese","Action, RPG",631,"{'Atmospheric': 1441, 'Post-apocalyptic': 1326, 'Open World': 1317, 'FPS': 1220, 'Survival': 982, 'Action': 730, 'Survival Horror': 616, 'RPG': 615, 'Shooter': 614, 'Horror': 575, 'First-Person': 541, 'Singleplayer': 534, 'Classic': 469, 'Based On A Novel': 396, 'Moddable': 393, 'Adventure': 386, 'Immersive': 343, 'Sci-fi': 336, 'Inventory Management': 299, 'Difficult': 273}"
4560,Company of Heroes - Legacy Edition,Relic Entertainment,SEGA,,6392,435,0,"2,000,000 .. 5,000,000",378,8,42,8,3699,3699,0,"English, French, Spanish - Spain, Italian, German, Czech, Japanese, Korean, Polish, Russian, Traditional Chinese","Action, Strategy",76,"{'Strategy': 562, 'World War II': 465, 'RTS': 460, 'Multiplayer': 275, 'Military': 271, 'Action': 262, 'Tactical': 254, 'Singleplayer': 243, 'War': 195, 'Base-Building': 185, 'Historical': 154, 'Tanks': 143, 'Moddable': 99, 'Co-op': 97, 'Simulation': 69, 'Epic': 52, 'Classic': 39, 'Team-Based': 34, 'Addictive': 30, 'Adventure': 24}"
4570,"Warhammer 40,000: Dawn of War - Anniversary Edition",Relic Entertainment,SEGA,,9909,517,0,"1,000,000 .. 2,000,000",198,0,124,0,3499,3499,0,"English, French, German, Italian, Spanish - Spain",Strategy,329,"{'Strategy': 386, 'Warhammer 40K': 315, 'RTS': 315, 'Base-Building': 206, 'Sci-fi': 166, 'Multiplayer': 159, 'Real-Time': 129, 'Games Workshop': 129, 'Tactical': 117, 'Singleplayer': 116, 'War': 80, 'Classic': 70, 'Action': 62, 'Gore': 41, 'Great Soundtrack': 30, 'Fantasy': 30, 'Epic': 29, 'Story Rich': 28, 'Futuristic': 27, 'Dark': 10}"
4580,"Warhammer 40,000: Dawn of War - Dark Crusade",Relic Entertainment,SEGA,,8155,287,0,"1,000,000 .. 2,000,000",914,0,1382,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,796,"{'Strategy': 295, 'Warhammer 40K': 265, 'RTS': 222, 'Base-Building': 156, 'Sci-fi': 136, 'Multiplayer': 134, 'Singleplayer': 105, 'Games Workshop': 101, 'Real-Time': 86, 'Classic': 81, 'War': 67, 'Action': 48, 'Tactical': 46, 'Atmospheric': 38, 'Gore': 36, 'Co-op': 33, 'Fantasy': 28, 'Space': 23, 'Adventure': 17, 'Nostalgia': 7}"
4700,Total War: MEDIEVAL II – Definitive Edition,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,30415,1358,0,"1,000,000 .. 2,000,000",1272,0,715,0,2499,2499,0,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Polish, Russian",Strategy,4982,"{'Strategy': 685, 'Medieval': 490, 'Historical': 370, 'Turn-Based Strategy': 332, 'Grand Strategy': 306, 'War': 278, 'RTS': 263, 'Tactical': 228, 'Singleplayer': 200, 'Multiplayer': 199, 'Moddable': 159, 'Military': 153, 'Turn-Based': 147, 'Real Time Tactics': 142, 'Classic': 122, 'Simulation': 104, 'Action': 78, 'Sandbox': 72, 'Great Soundtrack': 64, '4X': 35}"
4760,Rome: Total War - Collection,CREATIVE ASSEMBLY,SEGA,,14953,860,0,"1,000,000 .. 2,000,000",350,0,145,0,0,0,0,English,Strategy,997,"{'Strategy': 531, 'Historical': 326, 'Rome': 297, 'Turn-Based Strategy': 273, 'RTS': 237, 'Grand Strategy': 228, 'Classic': 205, 'Tactical': 188, 'War': 173, 'Great Soundtrack': 150, 'Multiplayer': 144, 'Singleplayer': 139, 'Turn-Based': 132, 'Moddable': 115, 'Real Time Tactics': 89, 'Action': 54, 'Atmospheric': 50, 'Simulation': 44, '4X': 38, 'Nostalgia': 21}"
4920,Natural Selection 2,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,11102,1914,0,"200,000 .. 500,000",355,0,139,0,499,499,0,"English, French, German, Spanish - Spain, Polish, Russian, Finnish, Romanian, Swedish, Czech","Action, Indie, Strategy",168,"{'Multiplayer': 639, 'Strategy': 610, 'FPS': 599, 'Team-Based': 523, 'Action': 469, 'Sci-fi': 400, 'RTS': 384, 'Aliens': 336, 'Indie': 312, 'Competitive': 267, 'Shooter': 221, 'Co-op': 194, 'Tactical': 182, 'Moddable': 178, 'First-Person': 155, 'Space': 129, 'Futuristic': 122, 'Atmospheric': 118, 'Online Co-Op': 113, 'Adventure': 45}"
6000,STAR WARS Republic Commando,LucasArts,"LucasArts, Lucasfilm, Disney",,14771,666,0,"1,000,000 .. 2,000,000",229,0,370,0,999,999,0,"English, French, German, Italian, Spanish - Spain",Action,40,"{'FPS': 424, 'Action': 415, 'Tactical': 346, 'Sci-fi': 293, 'Singleplayer': 285, 'Shooter': 257, 'First-Person': 218, 'Classic': 214, 'Multiplayer': 196, 'Great Soundtrack': 174, 'Atmospheric': 155, 'Space': 153, 'Epic': 135, 'Adventure': 127, 'Team-Based': 126, 'War': 118, 'Co-op': 96, 'Strategy': 95, 'Dark': 63, 'Futuristic': 47}"
6060,"STAR WARS Battlefront II (Classic, 2005)",Pandemic Studios,"Lucasfilm, LucasArts, Disney",,49662,2841,0,"5,000,000 .. 10,000,000",453,0,112,0,999,999,0,English,Action,187,"{'Action': 866, 'Multiplayer': 795, 'Shooter': 729, 'Classic': 721, 'Third-Person Shooter': 721, 'Sci-fi': 709, 'Space': 693, 'FPS': 631, 'First-Person': 493, 'Singleplayer': 443, 'Moddable': 393, 'Third Person': 372, 'Military': 358, 'Co-op': 274, 'Tactical': 260, 'Great Soundtrack': 252, 'Strategy': 240, 'Adventure': 200, 'Addictive': 175, 'Epic': 169}"
6850,Hitman 2: Silent Assassin,Io-Interactive A/S,Io-Interactive A/S,,3186,628,0,"1,000,000 .. 2,000,000",260,0,35,0,899,899,0,English,Action,20,"{'Stealth': 202, 'Action': 143, 'Third Person': 91, 'Assassin': 84, 'Classic': 76, 'Singleplayer': 76, 'Shooter': 58, 'Sandbox': 45, 'Great Soundtrack': 40, 'Old School': 35, 'Difficult': 28, 'Adventure': 23, 'Gore': 23, 'First-Person': 22, 'FPS': 19, 'Crime': 19, 'Third-Person Shooter': 15, 'Atmospheric': 15, 'Tactical': 14, 'Story Rich': 11}"
6860,Hitman: Blood Money,Io-Interactive A/S,Io-Interactive A/S,,12211,762,0,"1,000,000 .. 2,000,000",767,0,407,0,999,999,0,English,Action,93,"{'Stealth': 465, 'Action': 283, 'Assassin': 210, 'Singleplayer': 205, 'Third Person': 192, 'Classic': 176, 'Great Soundtrack': 117, 'Third-Person Shooter': 102, 'Cult Classic': 95, 'Sandbox': 94, 'Puzzle': 82, 'Replay Value': 76, 'Crime': 73, 'Shooter': 68, 'Atmospheric': 67, 'First-Person': 53, 'Difficult': 51, 'Strategy': 46, 'Dark': 45, 'Simulation': 25}"
6880,Just Cause,Avalanche Studios,Square Enix,,3151,1612,0,"1,000,000 .. 2,000,000",106,0,23,0,699,699,0,English,Action,9,"{'Action': 160, 'Open World': 148, 'Shooter': 84, 'Third Person': 78, 'Singleplayer': 74, 'Adventure': 65, 'Sandbox': 62, 'Third-Person Shooter': 55, 'Classic': 43, 'Multiplayer': 31, 'Controller': 20, 'Atmospheric': 17, 'Great Soundtrack': 14, 'Action RPG': 10, 'Violent': 7, 'Funny': 6, 'RPG': 5}"
6910,Deus Ex: Game of the Year Edition,Ion Storm,Eidos Interactive Corp.,,13255,726,0,"1,000,000 .. 2,000,000",396,0,341,0,699,699,0,English,Action,61,"{'Cyberpunk': 1063, 'RPG': 879, 'Stealth': 761, 'Classic': 718, 'Immersive Sim': 665, 'FPS': 642, 'Sci-fi': 607, 'Cult Classic': 550, 'Action': 483, 'Singleplayer': 467, 'Dystopian ': 430, 'Story Rich': 391, 'Great Soundtrack': 349, 'Inventory Management': 343, 'First-Person': 301, 'Atmospheric': 268, 'Conspiracy': 268, 'Moddable': 250, 'Action RPG': 182, 'Shooter': 155}"
7940,Call of Duty 4: Modern Warfare (2007),Infinity Ward,Activision,,22553,1602,0,"2,000,000 .. 5,000,000",20793,0,1488,0,1999,1999,0,"English, French, German, Italian, Spanish - Spain",Action,438,"{'FPS': 678, 'Action': 539, 'Multiplayer': 531, 'Shooter': 395, 'Singleplayer': 352, 'First-Person': 327, 'Classic': 286, 'Military': 262, 'War': 240, 'PvP': 147, 'Story Rich': 131, 'Great Soundtrack': 129, 'Linear': 125, 'Co-op': 123, 'Modern': 122, 'Controller': 114, 'Atmospheric': 100, 'Moddable': 92, 'Competitive': 84, 'Zombies': 62}"
8190,Just Cause 2,Avalanche Studios,Square Enix,,45680,4634,0,"2,000,000 .. 5,000,000",1535,0,238,0,1499,1499,0,"English, French, German, Italian, Spanish - Spain, Polish, Russian","Action, Adventure",117,"{'Open World': 1675, 'Action': 1376, 'Sandbox': 861, 'Multiplayer': 853, 'Third Person': 852, 'Adventure': 766, 'Third-Person Shooter': 714, 'Shooter': 674, 'Singleplayer': 638, 'Destruction': 528, 'Exploration': 472, 'Funny': 358, 'Moddable': 268, 'Co-op': 239, 'Beautiful': 193, 'Physics': 187, 'Atmospheric': 163, '3D Vision': 146, 'Comedy': 143, 'FPS': 79}"
8230,Sam & Max 104: Abe Lincoln Must Die!,Telltale Games,Telltale Games,,413,71,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,"English, French, German, Italian","Action, Adventure",0,"{'Adventure': 2894, 'Point & Click': 47, 'Cult Classic': 23, 'Singleplayer': 22, ""1990's"": 22, 'Great Soundtrack': 21, 'Retro': 20, 'Action': 18, 'Comedy': 11, '2D': 7, 'Story Rich': 6, 'America': 6}"
8500,EVE Online,CCP,CCP,,25696,9085,0,"2,000,000 .. 5,000,000",2961,0,119,0,0,0,0,"English, German, Russian, French, Korean, Japanese, Spanish - Spain, Simplified Chinese","Action, Massively Multiplayer, RPG, Strategy, Free To Play",4272,"{'Space': 1658, 'Free to Play': 1257, 'Open World': 1245, 'Massively Multiplayer': 1243, 'RPG': 1237, 'Multiplayer': 1230, 'Economy': 1225, 'Sci-fi': 1225, 'Sandbox': 1223, 'PvP': 1220, 'Strategy': 1211, 'Action': 1189, 'Character Customization': 805, 'MMORPG': 762, 'Spaceships': 759, 'Exploration': 756, 'War': 751, 'Politics': 728, 'PvE': 727, 'Lore-Rich': 726}"
8850,BioShock 2,"2K Marin, 2K China, Digital Extremes, 2K Australia",2K,,12566,1514,0,"2,000,000 .. 5,000,000",127,0,101,0,1999,1999,0,"English, French, German, Italian, Spanish - Spain",Action,40,"{'FPS': 638, 'Action': 475, 'Singleplayer': 391, 'Atmospheric': 365, 'Story Rich': 363, 'Horror': 295, 'Shooter': 286, 'First-Person': 284, 'Steampunk': 250, 'Sci-fi': 215, 'Multiplayer': 184, 'Underwater': 173, 'Dystopian ': 169, 'Adventure': 148, 'RPG': 121, 'Immersive': 121, 'Dark': 109, 'Great Soundtrack': 101, 'Philosophical': 95, 'Action RPG': 71}"
8870,BioShock Infinite,"Irrational Games, Virtual Programming (Linux)",2K,,129413,8583,0,"5,000,000 .. 10,000,000",892,0,740,0,2999,2999,0,"English, French, German, Italian, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Japanese, Korean, Traditional Chinese",Action,385,"{'FPS': 3007, 'Story Rich': 2662, 'Action': 2295, 'Singleplayer': 1961, 'Steampunk': 1923, 'Atmospheric': 1729, 'Shooter': 1549, 'First-Person': 1454, 'Beautiful': 1033, 'Alternate History': 1023, 'Adventure': 920, 'Great Soundtrack': 783, 'Dystopian ': 778, 'Sci-fi': 602, 'Time Travel': 482, 'Fantasy': 370, 'Gore': 334, 'Linear': 313, 'RPG': 282, 'Immersive': 234}"
8930,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,191976,7724,0,"10,000,000 .. 20,000,000",10245,332,3029,406,2999,2999,0,"English, French, German, Italian, Spanish - Spain, Polish, Japanese, Korean, Russian, Traditional Chinese",Strategy,19274,"{'Turn-Based Strategy': 4951, 'Strategy': 4355, 'Turn-Based': 2570, 'Multiplayer': 2395, 'Historical': 2183, '4X': 1713, 'Addictive': 1688, 'Singleplayer': 1602, 'Hex Grid': 1316, 'Grand Strategy': 1057, 'Replay Value': 842, 'Co-op': 780, 'Economy': 732, 'Tactical': 729, 'Diplomacy': 689, 'Moddable': 635, 'Simulation': 606, 'Classic': 472, 'Great Soundtrack': 456, 'Touch-Friendly': 305}"
8980,Borderlands Game of the Year,Gearbox Software,2K,,28570,2933,0,"2,000,000 .. 5,000,000",1134,0,703,0,2999,2999,0,"English, French, Spanish - Spain, German, Italian","Action, RPG",152,"{'Looter Shooter': 1265, 'FPS': 1171, 'Co-op': 926, 'RPG': 909, 'Action': 807, 'Loot': 755, 'Shooter': 638, 'Online Co-Op': 562, 'First-Person': 488, 'Open World': 478, 'Comedy': 455, 'Multiplayer': 436, 'Sci-fi': 407, 'Post-apocalyptic': 372, 'Singleplayer': 345, 'Action RPG': 305, 'Funny': 290, 'Dark Humor': 273, 'Adventure': 250, 'Gore': 241}"
9010,Return to Castle Wolfenstein,Gray Matter Studios,Bethesda Softworks,,7486,570,0,"1,000,000 .. 2,000,000",336,0,430,0,499,499,0,English,Action,61,"{'FPS': 250, 'Action': 217, 'World War II': 214, 'Classic': 209, 'Supernatural': 150, 'Alternate History': 139, 'Shooter': 117, 'Singleplayer': 113, 'First-Person': 105, 'Horror': 92, 'Atmospheric': 88, 'Gore': 71, 'Multiplayer': 70, 'Zombies': 61, 'Stealth': 57, 'Sci-fi': 55, 'Adventure': 48, 'Retro': 43, 'Great Soundtrack': 36, 'Old School': 31}"
9340,Company of Heroes: Opposing Fronts,Relic Entertainment,SEGA,,1002,87,0,"1,000,000 .. 2,000,000",595,0,178,0,1999,1999,0,English,"Action, Strategy",34,"{'Strategy': 135, 'RTS': 78, 'World War II': 61, 'Action': 59, 'Singleplayer': 36, 'Multiplayer': 31, 'Military': 31, 'Tactical': 23, 'War': 21, 'Tanks': 16, 'Base-Building': 14, 'Co-op': 11, 'Historical': 11, 'Online Co-Op': 6, 'Simulation': 5, 'Real Time Tactics': 5}"
9420,Supreme Commander: Forged Alliance,Gas Powered Games,Square Enix,,12538,413,0,"1,000,000 .. 2,000,000",2581,0,666,0,1299,1299,0,"English, French, Italian, German, Spanish - Spain, Czech, Polish, Russian, Traditional Chinese",Strategy,1217,"{'Strategy': 449, 'RTS': 404, 'Sci-fi': 254, 'Multiplayer': 226, 'Singleplayer': 171, 'Base-Building': 161, 'Grand Strategy': 157, 'Co-op': 128, 'Moddable': 118, 'Real-Time with Pause': 100, 'Robots': 97, 'Competitive': 84, 'Real-Time': 80, 'Action': 61, 'Online Co-Op': 53, 'Classic': 44, 'Great Soundtrack': 33, 'Space': 33, 'War': 31, 'Adventure': 21}"
9450,"Warhammer 40,000: Dawn of War - Soulstorm",Relic Entertainment,SEGA,,15717,759,0,"1,000,000 .. 2,000,000",1143,60,1280,80,0,0,0,"English, French, German",Strategy,1905,"{'Warhammer 40K': 318, 'Strategy': 290, 'RTS': 281, 'Base-Building': 185, 'Sci-fi': 145, 'Multiplayer': 130, 'Real-Time': 116, 'Games Workshop': 96, 'Singleplayer': 85, 'Futuristic': 67, 'Classic': 65, 'Action': 52, 'Atmospheric': 46, 'Great Soundtrack': 38, 'Moddable': 35, 'Gore': 35, 'Adventure': 21, 'Fantasy': 18, 'Co-op': 16, 'Memes': 15}"
9480,Saints Row 2,Volition,Deep Silver,,15015,4919,0,"2,000,000 .. 5,000,000",1451,0,1704,0,999,999,0,"English, French, German, Italian, Spanish - Spain, Dutch, Danish, Swedish, Russian",Action,113,"{'Open World': 577, 'Action': 432, 'Character Customization': 319, 'Sandbox': 300, 'Third-Person Shooter': 281, 'Comedy': 260, 'Co-op': 259, 'Crime': 207, 'Third Person': 202, 'Singleplayer': 189, 'Online Co-Op': 168, 'Multiplayer': 154, 'Funny': 151, 'Shooter': 147, 'Co-op Campaign': 122, 'Great Soundtrack': 117, 'Replay Value': 115, 'Female Protagonist': 110, 'Moddable': 92, 'Adventure': 89}"
9900,Star Trek Online,Cryptic Studios,Arc Games,,15407,4103,0,"2,000,000 .. 5,000,000",13076,0,3666,0,0,0,0,"English, French, German","Massively Multiplayer, RPG, Free To Play",1279,"{'Free to Play': 714, 'Sci-fi': 456, 'Massively Multiplayer': 446, 'Space': 430, 'MMORPG': 362, 'RPG': 352, 'Open World': 255, 'Multiplayer': 221, 'Character Customization': 207, 'Action': 188, 'Third Person': 147, 'Adventure': 140, 'Singleplayer': 118, 'PvE': 110, 'Co-op': 110, 'Online Co-Op': 108, 'PvP': 105, 'Strategy': 94, 'Action RPG': 85, 'Tactical': 81}"
10090,Call of Duty: World at War,Treyarch,Activision,,45223,3878,0,"2,000,000 .. 5,000,000",4112,0,1509,0,1999,1999,0,"English, French, Italian, German, Spanish - Spain",Action,482,"{'Zombies': 1188, 'World War II': 888, 'FPS': 879, 'Multiplayer': 789, 'Action': 755, 'Shooter': 739, 'Co-op': 664, 'Singleplayer': 646, 'First-Person': 598, 'Moddable': 591, 'War': 541, 'Online Co-Op': 478, 'Gore': 417, 'Historical': 399, 'Classic': 340, 'Survival': 315, 'Great Soundtrack': 288, 'Horror': 280, 'Tanks': 272, 'Adventure': 255}"
10180,Call of Duty: Modern Warfare 2 (2009),Infinity Ward,Activision,,52868,3932,0,"5,000,000 .. 10,000,000",952,7,980,7,1999,1999,0,"English, French, German, Italian, Spanish - Spain",Action,429,"{'Action': 1819, 'FPS': 1508, 'Multiplayer': 1279, 'Shooter': 1009, 'First-Person': 835, 'Singleplayer': 764, 'War': 688, 'Military': 635, 'Co-op': 532, 'Online Co-Op': 503, 'PvP': 442, 'Great Soundtrack': 343, 'Story Rich': 321, 'Atmospheric': 245, 'Adventure': 231, 'Tactical': 230, 'Controller': 224, 'Linear': 188, 'Strategy': 165, 'Moddable': 157}"
10500,Total War: EMPIRE – Definitive Edition,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,30769,3132,0,"2,000,000 .. 5,000,000",2365,0,755,0,2499,2499,0,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Czech",Strategy,3301,"{'Strategy': 1099, 'Historical': 686, 'Military': 540, 'Grand Strategy': 495, 'Turn-Based Strategy': 402, 'War': 387, 'Tactical': 303, 'RTS': 294, 'Multiplayer': 274, 'Singleplayer': 215, 'Turn-Based': 177, 'Naval': 161, 'America': 146, 'Real Time Tactics': 134, 'Great Soundtrack': 123, 'Action': 121, 'Turn-Based Tactics': 110, 'Atmospheric': 91, 'Classic': 75, 'Adventure': 71}"
11020,TrackMania Nations Forever,Nadeo,Ubisoft,,20638,2326,0,"2,000,000 .. 5,000,000",233,0,56,0,0,0,0,"English, French, German, Italian, Spanish - Spain, Portuguese - Portugal, Japanese, Traditional Chinese, Korean, #lang_slovakian, Dutch, Russian, Hungarian, Czech, Polish",Racing,359,"{'Racing': 734, 'Free to Play': 506, 'Multiplayer': 343, 'Automobile Sim': 328, 'Singleplayer': 236, 'Level Editor': 197, 'Arcade': 164, 'Competitive': 139, 'Simulation': 134, 'Controller': 126, 'Massively Multiplayer': 107, 'Action': 95, 'Sports': 91, 'Difficult': 73, 'Sandbox': 68, 'Casual': 61, 'Adventure': 49, 'Co-op': 46, 'First-Person': 45, 'Indie': 35}"
12100,Grand Theft Auto III,Rockstar Games,Rockstar Games,,12476,1937,0,"2,000,000 .. 5,000,000",317,458,137,458,0,0,0,"English, French, German, Italian, Spanish - Spain",Action,44,"{'Open World': 456, 'Action': 405, 'Automobile Sim': 361, 'Classic': 281, 'Third Person': 242, 'Crime': 218, 'Singleplayer': 215, 'Driving': 191, 'Sandbox': 189, 'Shooter': 163, 'Third-Person Shooter': 143, 'Great Soundtrack': 125, 'Violent': 122, 'Adventure': 118, 'Atmospheric': 114, 'Silent Protagonist': 112, 'Mature': 99, 'Story Rich': 89, 'Multiplayer': 63, 'Moddable': 63}"
12110,Grand Theft Auto: Vice City,Rockstar Games,Rockstar Games,,26775,2114,0,"2,000,000 .. 5,000,000",645,0,129,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Action,150,"{'Open World': 689, 'Action': 583, 'Automobile Sim': 529, '1980s': 489, 'Classic': 447, 'Great Soundtrack': 388, 'Crime': 370, 'Third Person': 345, 'Singleplayer': 336, 'Sandbox': 262, 'Driving': 259, 'Atmospheric': 239, 'Third-Person Shooter': 228, 'Violent': 216, 'Shooter': 214, 'Adventure': 204, 'Mature': 196, 'Funny': 159, 'Music': 156, 'Multiplayer': 132}"
12120,Grand Theft Auto: San Andreas,Rockstar Games,Rockstar Games,,75403,6536,0,"5,000,000 .. 10,000,000",1777,0,796,0,0,0,0,English,Action,542,"{'Open World': 2047, 'Action': 1581, 'Crime': 1178, 'Classic': 1132, 'Third Person': 1071, 'Automobile Sim': 1067, 'Singleplayer': 1039, 'Multiplayer': 1026, 'Shooter': 874, 'Driving': 850, 'Story Rich': 766, 'Adventure': 689, 'Sandbox': 662, 'Mature': 656, 'Great Soundtrack': 630, 'Third-Person Shooter': 613, 'Moddable': 523, 'Atmospheric': 520, 'Funny': 496, 'Comedy': 391}"
12200,Bully: Scholarship Edition,Rockstar New England,Rockstar Games,,28350,5138,0,"2,000,000 .. 5,000,000",766,0,758,0,1499,1499,0,"Italian, German, Spanish - Spain, English, French","Action, Adventure",262,"{'Open World': 560, 'Action': 432, 'Adventure': 398, 'Third Person': 332, 'Comedy': 303, 'Singleplayer': 301, 'Great Soundtrack': 254, 'Funny': 237, 'Classic': 236, 'Dark Humor': 187, 'Story Rich': 180, 'Sandbox': 176, 'Satire': 169, 'Atmospheric': 135, 'Exploration': 133, 'Mature': 87, 'Simulation': 84, 'Controller': 77, 'Multiplayer': 70, 'RPG': 29}"
12210,Grand Theft Auto IV: The Complete Edition,"Rockstar North, Rockstar Toronto",Rockstar Games,,133278,29331,0,"5,000,000 .. 10,000,000",1623,75,690,75,1999,1999,0,"English, French, Italian, German, Spanish - Spain","Action, Adventure",2406,"{'Open World': 2583, 'Action': 2046, 'Automobile Sim': 1413, 'Multiplayer': 1367, 'Crime': 1358, 'Third Person': 1240, 'Adventure': 1170, 'Singleplayer': 975, 'Third-Person Shooter': 943, 'Sandbox': 886, 'Moddable': 884, 'Shooter': 842, 'Physics': 718, 'Atmospheric': 565, 'Classic': 549, 'Funny': 530, 'Dark Humor': 528, 'Gore': 501, 'Satire': 424, 'Co-op': 412}"
12220,Grand Theft Auto: Episodes from Liberty City,Rockstar North / Toronto,Rockstar Games,,7549,2661,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Action,0,"{'Open World': 362, 'Action': 341, 'Automobile Sim': 262, 'Third Person': 177, 'Multiplayer': 167, 'Crime': 142, 'Adventure': 135, 'Shooter': 124, 'Sandbox': 119, 'Singleplayer': 113, 'Driving': 109, 'Third-Person Shooter': 103, 'Mature': 94, 'Great Soundtrack': 82, 'Nudity': 77, 'Story Rich': 75, 'Racing': 71, 'Comedy': 60, 'Atmospheric': 60, 'Moddable': 59}"
12810,Overlord II,Triumph Studios,"Codemasters, Electronic Arts",,4001,491,0,"1,000,000 .. 2,000,000",275,0,189,0,999,999,0,"English, French, German, Italian, Spanish - Spain",RPG,60,"{'RPG': 282, 'Villain Protagonist': 257, 'Fantasy': 237, 'Singleplayer': 190, 'Dark Fantasy': 178, 'Funny': 173, 'Comedy': 167, 'Third Person': 160, 'Action': 156, 'Magic': 138, 'Adventure': 122, 'Dark Humor': 120, 'Strategy': 120, 'Action RPG': 113, 'Open World': 87, 'Action-Adventure': 82, 'Puzzle': 71, 'Multiplayer': 67, 'Atmospheric': 66, 'RTS': 44}"
12900,AudioSurf,Dylan Fitterer,,,10412,464,0,"1,000,000 .. 2,000,000",655,0,165,0,999,999,0,"English, Russian",Indie,9,"{'Music': 900, 'Rhythm': 591, 'Indie': 519, 'Casual': 350, 'Music-Based Procedural Generation': 337, 'Arcade': 221, 'Colorful': 219, 'Singleplayer': 190, 'Relaxing': 187, 'Score Attack': 162, 'Addictive': 158, 'Local Co-Op': 139, 'Procedural Generation': 138, 'Replay Value': 98, 'Puzzle': 87, 'Fast-Paced': 79, 'Great Soundtrack': 78, 'Racing': 68, 'Co-op': 58, 'Local Multiplayer': 57}"
13520,Far Cry,Crytek Studios,Ubisoft,,7650,1682,0,"1,000,000 .. 2,000,000",178,0,176,0,999,999,0,"English, French",Action,78,"{'FPS': 351, 'Action': 269, 'Classic': 229, 'Shooter': 170, 'Open World': 157, 'First-Person': 149, 'Singleplayer': 148, 'Difficult': 140, 'Stealth': 127, 'Multiplayer': 118, 'Adventure': 102, 'Atmospheric': 83, 'Story Rich': 54, 'Sci-fi': 52, 'Horror': 46, 'Sandbox': 39, 'Great Soundtrack': 24, 'Co-op': 24, 'Survival': 14, 'Zombies': 10}"
15100,Assassin's Creed: Director's Cut Edition,Ubisoft Montreal,Ubisoft,,16264,3529,0,"1,000,000 .. 2,000,000",376,0,361,0,1999,1999,0,"English, French, Italian, German, Spanish - Spain","Action, Adventure",113,"{'Action': 603, 'Combat': 521, 'Adventure': 514, 'Historical': 512, 'Third Person': 510, 'Stealth': 509, 'Parkour': 501, 'Exploration': 500, 'Assassin': 496, 'Singleplayer': 486, 'Medieval': 485, 'Conspiracy': 474, 'Story Rich': 471, 'Atmospheric': 469, 'Realistic': 468, 'Action-Adventure': 463, '3D': 462, 'Cinematic': 457, 'Open World': 457, 'Narration': 450}"
15620,"Warhammer 40,000: Dawn of War II - Anniversary Edition","Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)",,10709,1389,0,"2,000,000 .. 5,000,000",969,0,874,0,4999,4999,0,"English, French, German, Italian, Spanish - Spain",Strategy,359,"{'Warhammer 40K': 547, 'Strategy': 409, 'RTS': 320, 'Sci-fi': 205, 'Multiplayer': 165, 'Games Workshop': 153, 'Tactical': 152, 'Singleplayer': 124, 'Co-op': 111, 'Futuristic': 81, 'Gore': 80, 'Online Co-Op': 79, 'RPG': 66, 'Co-op Campaign': 61, 'Real-Time': 56, 'Action': 56, 'Fantasy': 44, 'Great Soundtrack': 41, 'Atmospheric': 36, 'Story Rich': 13}"
